Drugbank id	Weight (Da)
DB00001	6963.425
DB00002	145781.6
DB00003	29253.9
DB00004	57647.3
DB00005	51234.9
DB00006	2180.2853
DB00007	1209.3983
DB00008	60000.0
DB00009	59042.3
DB00010	3357.882
DB00011	19241.1
DB00012	18396.1
DB00013	31126.5
DB00014	1269.4105
DB00015	39589.6
DB00016	18396.1
DB00017	3431.853
DB00018	-1
DB00019	39000.0
DB00020	14434.5
DB00022	31000.0
DB00023	31731.9
DB00024	22672.9
DB00025	264725.5
DB00026	17257.6
DB00027	1811.253
DB00028	142682.3
DB00029	59042.3
DB00030	5808.0
DB00031	58951.2
DB00032	23390.3
DB00033	17145.6
DB00034	19241.1
DB00035	1069.22
DB00036	45079.1
DB00038	19047.2
DB00039	16192.7
DB00040	3767.1
DB00041	15314.8
DB00042	150804.0
DB00043	149000.0
DB00044	30000.0
DB00045	27743.1
DB00046	5808.0
DB00047	6063.0
DB00048	112023.2
DB00049	34109.5
DB00050	1431.038
DB00051	144190.3
DB00052	22129.0
DB00053	55597.4
DB00054	145651.1
DB00055	55000.0
DB00056	151500.0
DB00057	141478.9
DB00058	44324.5
DB00059	31731.9
DB00060	20027.0
DB00061	40788.2
DB00062	66472.2
DB00063	831.962
DB00065	144190.3
DB00066	22672.9
DB00067	-1
DB00068	20011.0
DB00069	19343.0
DB00070	53870.9
DB00071	5795.6
DB00072	145531.5
DB00073	143859.7
DB00074	143801.3
DB00075	146189.7
DB00076	47301.7
DB00078	143375.5
DB00080	1620.693
DB00081	143859.7
DB00082	22129.0
DB00083	149322.7
DB00085	131000.0
DB00086	47286.7
DB00087	145453.8
DB00088	55597.4
DB00089	-1
DB00090	69899.4
DB00091	1202.635
DB00092	51801.1
DB00093	1040.219
DB00094	980.162
DB00095	-1
DB00097	25719.7
DB00098	-1
DB00099	18800.0
DB00100	46548.2
DB00102	12294.4
DB00103	45351.6
DB00104	1019.25
DB00105	19271.0
DB00106	1416.09
DB00107	1007.187
DB00108	-1
DB00109	4491.876
DB00110	-1
DB00111	142612.1
DB00112	149000.0
DB00113	144482.5
DB00114	247.1419
DB00115	1355.3652
DB00116	445.4292
DB00117	155.1546
DB00118	398.44
DB00119	88.0621
DB00120	165.1891
DB00121	244.311
DB00122	104.1708
DB00123	146.1876
